success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,rt,response,task,correct_response,correct,pred_class,fbclid
,,,,,image-button-response,31,275088,0.0-8.0-1.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,8959,0,response_2,Andrena bicolor,TRUE,,
,,,,,html-keyboard-response,32,275855,0.0-8.0-0.1,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,33,296460,0.0-8.0-1.1,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,20600,2,response_2,Andrena fulva,TRUE,,
,,,,,html-keyboard-response,34,297223,0.0-8.0-0.2,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,35,321058,0.0-8.0-1.2,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,23830,4,response_2,Bombus lucorum,TRUE,,
,,,,,html-keyboard-response,36,321322,0.0-8.0-0.3,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,37,331006,0.0-8.0-1.3,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,9676,0,response_2,Andrena fulva,FALSE,,
,,,,,html-keyboard-response,38,331773,0.0-8.0-0.4,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,39,346038,0.0-8.0-1.4,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,14260,5,response_2,Bombus pratorum,TRUE,,
,,,,,html-keyboard-response,40,346307,0.0-8.0-0.5,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,
,,,,,image-button-response,41,359856,0.0-8.0-1.5,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,13540,2,response_2,Andrena bicolor,FALSE,,
,,,,,html-button-response,42,364458,0.0-9.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,4593,0,,,,,
,,,,,html-button-response,43,366911,0.0-10.0,11,1,2023-03-14 19:48:30,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,2448,0,,,,,
TRUE,FALSE,[],[],[],preload,0,387,0.0-0.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,,,,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-button-response,1,15023,0.0-1.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,14631,0,,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-button-response,2,55409,0.0-2.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,40384,0,,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-button-response,3,273216,0.0-3.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,217801,0,,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,4,274730,0.0-4.0-0.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,5,344085,0.0-4.0-1.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,69334,5,response_1,Bombus lucorum,FALSE,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,6,344592,0.0-4.0-0.1,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,7,418962,0.0-4.0-1.1,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,74363,0,response_1,Andrena flavipes,FALSE,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,8,419226,0.0-4.0-0.2,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,9,458522,0.0-4.0-1.2,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,39290,5,response_1,Bombus lucorum,FALSE,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,10,458788,0.0-4.0-0.3,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,11,475117,0.0-4.0-1.3,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,16324,2,response_1,Andrena fulva,TRUE,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,12,475875,0.0-4.0-0.4,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,13,532872,0.0-4.0-1.4,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,56992,3,response_1,Bombus hortorum,TRUE,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,14,533383,0.0-4.0-0.5,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,15,546116,0.0-4.0-1.5,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,12737,5,response_1,Bombus pratorum,TRUE,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-button-response,16,615651,0.0-5.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,69521,0,,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,html-keyboard-response,17,616413,0.0-6.0-0.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,null,null,fixation,,,,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
,,,,,image-button-response,18,653354,0.0-6.0-1.0,23,1,2023-03-15 15:26:11,95c447948bfde634df5be7bb21c2f1af,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",WebKit,Chrome,111.0.0.0,Windows,10,36935,0,response_pred,Andrena bicolor,TRUE,Andrena bicolor,IwAR29eiYR9dKryt0AooSnqok4fzHnwfPqgFvyae82WompZBfFZRQ_snz8JDE
