success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,rt,response,task,correct_response,correct,pred_class,pred_concept,question_order
,,,,,image-button-response,35,327778,0.0-8.0-1.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,11669,0,response_2,Andrena bicolor,TRUE,,,
,,,,,html-keyboard-response,36,328031,0.0-8.0-0.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,37,336512,0.0-8.0-1.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,8469,5,response_2,Andrena fulva,FALSE,,,
,,,,,html-keyboard-response,38,337014,0.0-8.0-0.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,39,343594,0.0-8.0-1.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,6571,3,response_2,Bombus hortorum,TRUE,,,
,,,,,html-keyboard-response,40,344097,0.0-8.0-0.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,41,350794,0.0-8.0-1.5,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,6686,2,response_2,Andrena fulva,TRUE,,,
,,,,,html-button-response,42,352260,0.0-9.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,1463,0,,,,,,
,,,,,survey-multi-choice,43,383484,0.0-10.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,31219,"{""support_exp"":""strongly agree"",""causal_exp"":""strongly agree"",""know_exp"":""strongly agree"",""understand_exp"":""strongly agree""}",,,,,,"[0,1,2,3]"
,,,,,html-button-response,44,384728,0.0-11.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,1241,0,,,,,,
TRUE,FALSE,[],[],[],preload,0,329,0.0-0.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,
,,,,,html-button-response,1,1268,0.0-1.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,937,0,,,,,,
,,,,,html-button-response,2,2522,0.0-2.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,1253,0,,,,,,
,,,,,html-button-response,3,140636,0.0-3.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,138114,0,,,,,,
,,,,,html-keyboard-response,4,142143,0.0-4.0-0.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,5,186286,0.0-4.0-1.0,10,1,2023-03-14 19:11:28,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,44126,2,response_1,Bombus lucorum,FALSE,,,
